TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
900.0000,0.417979
899.8000,0.415316
899.6000,0.413776
899.4000,0.416478
899.2000,0.416764
899.0000,0.416921
898.8000,0.416654
898.6000,0.41562
898.4000,0.420103
898.2000,0.422251
898.0000,0.421565
897.8000,0.416731
897.6000,0.415426
897.4000,0.420968
897.2000,0.419595
897.0000,0.418017
896.8000,0.4209
896.6000,0.421371
896.4000,0.418543
896.2000,0.416328
896.0000,0.41604
895.8000,0.415557
895.6000,0.416746
895.4000,0.416171
895.2000,0.415167
895.0000,0.41838
894.8000,0.41684
894.6000,0.416658
894.4000,0.419482
894.2000,0.421394
894.0000,0.421133
893.8000,0.421189
893.6000,0.420457
893.4000,0.419922
893.2000,0.422418
893.0000,0.422542
892.8000,0.421615
892.6000,0.419916
892.4000,0.419906
892.2000,0.421751
892.0000,0.424744
891.8000,0.422198
891.6000,0.420164
891.4000,0.422198
891.2000,0.420803
891.0000,0.421036
890.8000,0.423164
890.6000,0.425029
890.4000,0.423729
890.2000,0.421315
890.0000,0.422391
889.8000,0.423839
889.6000,0.427581
889.4000,0.428819
889.2000,0.424259
889.0000,0.425258
888.8000,0.426352
888.6000,0.423475
888.4000,0.421819
888.2000,0.421308
888.0000,0.423595
887.8000,0.422521
887.6000,0.422077
887.4000,0.426145
887.2000,0.4265
887.0000,0.424973
886.8000,0.427347
886.6000,0.427866
886.4000,0.42273
886.2000,0.422042
886.0000,0.425123
885.8000,0.425817
885.6000,0.427645
885.4000,0.427344
885.2000,0.425234
885.0000,0.426041
884.8000,0.4264
884.6000,0.427764
884.4000,0.426356
884.2000,0.425486
884.0000,0.427383
883.8000,0.428504
883.6000,0.42932
883.4000,0.429209
883.2000,0.428559
883.0000,0.427982
882.8000,0.428139
882.6000,0.427265
882.4000,0.426976
882.2000,0.427418
882.0000,0.428861
881.8000,0.42874
881.6000,0.426779
881.4000,0.427434
881.2000,0.428646
881.0000,0.428051
880.8000,0.428185
880.6000,0.429523
880.4000,0.429466
880.2000,0.429591
880.0000,0.430585
879.8000,0.428876
879.6000,0.428266
879.4000,0.430206
879.2000,0.431033
879.0000,0.430914
878.8000,0.430307
878.6000,0.430807
878.4000,0.430461
878.2000,0.429913
878.0000,0.430433
877.8000,0.429916
877.6000,0.430783
877.4000,0.430818
877.2000,0.43096
877.0000,0.432378
876.8000,0.432714
876.6000,0.432795
876.4000,0.433103
876.2000,0.432302
876.0000,0.430518
