TITLE,S2L
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/19
TIME,15:41:03
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  370.0000
LASTX,  800.0000
NPOINTS,     861
FIRSTY,   502.63272
MAXY,   502.63272
MINY,     1.45963
XYDATA
370.0000,502.633
370.5000,497.842
371.0000,492.557
371.5000,467.809
372.0000,443.12
372.5000,421.823
373.0000,403.017
373.5000,387.34
374.0000,374.344
374.5000,363.833
375.0000,355.366
375.5000,348.237
376.0000,342.804
376.5000,338.103
377.0000,333.881
377.5000,330.756
378.0000,327.693
378.5000,325.022
379.0000,322.57
379.5000,320.297
380.0000,318.577
380.5000,317.148
381.0000,316.322
381.5000,315.641
382.0000,315.087
382.5000,315.513
383.0000,316.337
383.5000,317.871
384.0000,320.479
384.5000,323.846
385.0000,327.264
385.5000,331.887
386.0000,336.658
386.5000,342.698
387.0000,349.401
387.5000,356.833
388.0000,364.596
388.5000,372.647
389.0000,380.932
389.5000,389.503
390.0000,397.934
390.5000,406.043
391.0000,414.272
391.5000,421.599
392.0000,428.979
392.5000,435.622
393.0000,441.996
393.5000,447.013
394.0000,452.002
394.5000,456.257
395.0000,460.163
395.5000,463.243
396.0000,466.046
396.5000,468.462
397.0000,470.663
397.5000,472.446
398.0000,473.973
398.5000,475.285
399.0000,476.452
399.5000,477.429
400.0000,477.351
400.5000,477.256
401.0000,476.482
401.5000,474.586
402.0000,472.069
402.5000,469.47
403.0000,465.577
403.5000,461.531
404.0000,456.657
404.5000,451.182
405.0000,444.849
405.5000,437.917
406.0000,431.392
406.5000,424.571
407.0000,417.351
407.5000,410.073
408.0000,403.041
408.5000,396.375
409.0000,390.361
409.5000,384.612
410.0000,379.52
410.5000,374.93
411.0000,370.925
411.5000,367.395
412.0000,364.705
412.5000,362.648
413.0000,360.699
413.5000,359.524
414.0000,358.956
414.5000,358.314
415.0000,357.801
415.5000,357.612
416.0000,357.17
416.5000,356.881
417.0000,356.644
417.5000,356.814
418.0000,356.641
418.5000,357.13
419.0000,357.255
419.5000,357.502
420.0000,357.508
420.5000,358.037
421.0000,358.208
421.5000,358.411
422.0000,358.648
422.5000,359.326
423.0000,359.75
423.5000,360.192
424.0000,360.355
424.5000,360.884
425.0000,361.635
425.5000,362.317
426.0000,363.266
426.5000,363.884
427.0000,364.686
427.5000,365.471
428.0000,366.052
428.5000,366.884
429.0000,367.865
429.5000,368.561
430.0000,368.898
430.5000,369.887
431.0000,370.56
431.5000,370.826
432.0000,371.275
432.5000,371.624
433.0000,371.819
433.5000,372.149
434.0000,372.261
434.5000,372.103
435.0000,371.977
435.5000,371.74
436.0000,370.966
436.5000,370.67
437.0000,370.271
437.5000,369.608
438.0000,369.113
438.5000,368.632
439.0000,368.002
439.5000,367.377
440.0000,366.754
440.5000,366.054
441.0000,365.407
441.5000,364.659
442.0000,363.722
442.5000,362.466
443.0000,361.27
443.5000,359.885
444.0000,358.607
444.5000,356.991
445.0000,355.585
445.5000,353.697
446.0000,352.236
446.5000,350.344
447.0000,348.439
447.5000,346.978
448.0000,344.905
448.5000,343.076
449.0000,341.433
449.5000,339.731
450.0000,338.052
450.5000,336.527
451.0000,334.645
451.5000,332.991
452.0000,331.755
452.5000,330.393
453.0000,329.517
453.5000,328.397
454.0000,327.274
454.5000,326.06
455.0000,325.19
455.5000,323.743
456.0000,322.501
456.5000,321.357
457.0000,320.166
457.5000,319.147
458.0000,317.864
458.5000,316.716
459.0000,315.564
459.5000,314.814
460.0000,313.648
460.5000,312.153
461.0000,311.044
461.5000,309.845
462.0000,308.572
462.5000,307.501
463.0000,306.114
463.5000,304.999
464.0000,303.655
464.5000,301.789
465.0000,300.101
465.5000,298.34
466.0000,296.628
466.5000,294.777
467.0000,292.629
467.5000,290.466
468.0000,288.094
468.5000,286.05
469.0000,283.902
469.5000,281.691
470.0000,278.751
470.5000,276.147
471.0000,273.449
471.5000,270.554
472.0000,267.905
472.5000,265.363
473.0000,262.645
473.5000,259.908
474.0000,256.855
474.5000,253.832
475.0000,250.795
475.5000,247.817
476.0000,244.785
476.5000,241.353
477.0000,238.158
477.5000,235.057
478.0000,231.932
478.5000,228.784
479.0000,225.924
479.5000,223.013
480.0000,219.9
480.5000,216.663
481.0000,213.991
481.5000,211.468
482.0000,208.984
482.5000,206.489
483.0000,204.17
483.5000,201.729
484.0000,199.633
484.5000,197.731
485.0000,195.729
485.5000,193.631
486.0000,191.422
486.5000,189.333
487.0000,187.277
487.5000,185.121
488.0000,183.16
488.5000,181.035
489.0000,178.538
489.5000,176.033
490.0000,173.752
490.5000,171.393
491.0000,168.958
491.5000,166.455
492.0000,164.004
492.5000,161.701
493.0000,159.165
493.5000,156.829
494.0000,154.525
494.5000,152.069
495.0000,149.796
495.5000,147.69
496.0000,145.478
496.5000,143.344
497.0000,141.106
497.5000,139.443
498.0000,137.407
498.5000,135.516
499.0000,133.42
499.5000,131.52
500.0000,129.312
500.5000,127.299
501.0000,125.511
501.5000,123.526
