2θ 	Intensity,cps	2θ Intensity,cps
20	1100.663	20	1077.893
20.01	1024.61	20.01	846.5528
20.02	1072.636	20.02	1116.026
20.03	1078.797	20.03	1212.63
20.04	1163.757	20.04	757.5757
20.05	1060.193	20.05	976.205
20.06	1002.991	20.06	1212.63
20.07	1099.552	20.07	1080.435
20.08	1044.456	20.08	772.829
20.09	1044.508	20.09	892.3124
20.1	1158.69	20.1	986.3738
20.11	1005.613	20.11	1103.315
20.12	1085.643	20.12	1118.568
20.13	1125.64	20.13	1154.159
20.14	1145.394	20.14	1177.039
20.15	1178.982	20.15	1179.581
20.16	981.8698	20.16	1410.921
20.17	1106.382	20.17	1266.016
20.18	1079.494	20.18	1222.798
20.19	1103.374	20.19	1309.233
20.2	1092.131	20.2	1197.376
20.21	1171.98	20.21	1179.581
20.22	1103.414	20.22	1232.967
20.23	523.9253	20.23	1258.389
20.24	590.4954	20.24	1100.773
20.25	796.0454	20.25	1327.029
20.26	1059.683	20.26	1504.983
20.27	1173.32	20.27	1205.003
20.28	1056.924	20.28	1248.22
20.29	1190.777	20.29	887.228
20.3	1088.774	20.3	905.0234
20.31	1086.593	20.31	1182.123
20.32	1165.017	20.32	1006.711
20.33	1289.916	20.33	922.8188
20.34	1240.837	20.34	1342.282
20.35	977.5496	20.35	1278.727
20.36	1060.403	20.36	1332.113
20.37	1172.879	20.37	1057.555
20.38	1095.847	20.38	1034.676
20.39	1156.647	20.39	1268.558
20.4	1211.563	20.4	1070.266
20.41	1209.2	20.41	1410.921
20.42	1066.949	20.42	1037.218
20.43	1134.838	20.43	1065.182
20.44	1357.838	20.44	1309.233
20.45	1165.044	20.45	1253.305
20.46	1200.249	20.46	1151.617
20.47	1156.656	20.47	1370.246
20.48	1248.023	20.48	976.205
20.49	1234.968	20.49	1306.691
20.5	1234.551	20.5	1042.302
20.51	1218.293	20.51	1085.52
20.52	1358.944	20.52	1151.617
20.53	1280.292	20.53	1426.174
20.54	1297.835	20.54	1375.331
20.55	1182.828	20.55	1718.527
20.56	1195.571	20.56	1075.351
20.57	1043.367	20.57	1136.364
20.58	1147.378	20.58	1159.244
20.59	1251.009	20.59	1088.062
20.6	1181.309	20.6	1131.279
20.61	1275.298	20.61	1281.269
20.62	1232.7	20.62	1088.062
20.63	1092.368	20.63	1021.965
20.64	1186.593	20.64	1301.607
20.65	1175.001	20.65	1021.965
20.66	1285.857	20.66	1278.727
20.67	1422.29	20.67	1072.809
20.68	1174.736	20.68	966.0362
20.69	1195.479	20.69	1169.412
20.7	1212.712	20.7	1164.328
20.71	1250.681	20.71	1034.676
20.72	1018.233	20.72	1177.039
20.73	1202.844	20.73	1235.51
20.74	1139.565	20.74	1187.208
20.75	1136.078	20.75	983.8316
20.76	1154.477	20.76	1205.003
20.77	1138.887	20.77	1116.026
20.78	1097.362	20.78	973.6628
20.79	1182.088	20.79	1062.64
20.8	1103.821	20.8	1166.87
20.81	1168.683	20.81	1393.126
20.82	1273.412	20.82	1423.632
20.83	1301.513	20.83	1103.315
20.84	1163.186	20.84	1004.169
20.85	1209.059	20.85	1245.678
20.86	1277.489	20.86	1156.701
20.87	1184.06	20.87	925.361
20.88	1259.602	20.88	1232.967
20.89	1268.976	20.89	1441.428
20.9	1097.94	20.9	1232.967
20.91	1223.029	20.91	1288.896
20.92	1155.784	20.92	1194.834
20.93	1103.606	20.93	1304.149
20.94	1265.422	20.94	1499.898
20.95	1143.762	20.95	1151.617
20.96	1338.704	20.96	1276.185
20.97	1278.418	20.97	1070.266
20.98	1262.676	20.98	1339.74
20.99	1366.259	20.99	902.4811
21	1159.971	21	1474.476
21.01	1211.493	21.01	1281.269
21.02	1199.038	21.02	1187.208
21.03	1202.986	21.03	1197.376
21.04	1227.996	21.04	1235.51
21.05	1274.741	21.05	1169.412
21.06	1260.158	21.06	1052.471
21.07	1386.272	21.07	1019.422
21.08	1297.286	21.08	1266.016
21.09	1128.712	21.09	1123.653
21.1	1206.251	21.1	973.6628
21.11	1183.939	21.11	1205.003
21.12	1121.552	21.12	1258.389
21.13	1300.083	21.13	1314.318
21.14	1211.065	21.14	1055.013
21.15	1153.278	21.15	1390.584
21.16	1206.075	21.16	1372.788
21.17	1346.18	21.17	1220.256
21.18	1321.874	21.18	1253.305
21.19	1293.954	21.19	1100.773
21.2	1308.108	21.2	1095.688
21.21	1104.059	21.21	1454.139
21.22	1104.722	21.22	1558.369
21.23	1127.282	21.23	1281.269
21.24	1102.329	21.24	938.072
21.25	1204.898	21.25	1161.786
21.26	1201.785	21.26	1271.1
21.27	1309.995	21.27	1192.292
21.28	1292.45	21.28	1126.195
21.29	1180.023	21.29	1118.568
21.3	1285.66	21.3	1189.75
21.31	1327.209	21.31	1271.1
21.32	1247.416	21.32	1281.269
21.33	1456.803	21.33	1299.064
21.34	1267.683	21.34	1515.151
21.35	1327.714	21.35	1438.885
21.36	1215.506	21.36	996.5426
21.37	1198.092	21.37	1291.438
21.38	1222.336	21.38	968.5784
21.39	1211.449	21.39	1199.919
21.4	1347.399	21.4	1329.571
21.41	1274.429	21.41	1502.44
21.42	1148.204	21.42	1347.366
21.43	1229.532	21.43	1161.786
21.44	1222.451	21.44	1388.042
21.45	1349.594	21.45	1281.269
21.46	1229.581	21.46	1225.341
21.47	1349.277	21.47	1131.279
21.48	1322.75	21.48	1189.75
21.49	1246.353	21.49	1466.85
21.5	1275.07	21.5	1309.233
21.51	1277.962	21.51	1138.906
21.52	1237.707	21.52	1474.476
21.53	1434.227	21.53	1471.934
21.54	1381.107	21.54	1446.512
21.55	1225.448	21.55	1248.22
21.56	1223.877	21.56	1166.87
21.57	1185.661	21.57	1408.379
21.58	1221.47	21.58	945.6986
21.59	1163.532	21.59	1266.016
21.6	1276.629	21.6	1446.512
21.61	1294.635	21.61	1304.149
21.62	1266.31	21.62	1388.042
21.63	1442.604	21.63	1136.364
21.64	1408.67	21.64	1418.548
21.65	1362.269	21.65	1321.944
21.66	1234.979	21.66	1354.993
21.67	1124.42	21.67	1273.642
21.68	1374.479	21.68	1367.704
21.69	1369.011	21.69	1293.98
21.7	1245.653	21.7	1548.2
21.71	1266.527	21.71	1230.425
21.72	1475.95	21.72	1357.535
21.73	1299.944	21.73	1098.231
21.74	1389.762	21.74	1431.259
21.75	1309.982	21.75	1128.737
21.76	1210.942	21.76	1166.87
21.77	1350.268	21.77	1357.535
21.78	1338.736	21.78	1009.254
21.79	1251.2	21.79	1382.957
21.8	1320.076	21.8	1248.22
21.81	1231.384	21.81	1149.075
21.82	1478.613	21.82	1299.064
21.83	1202.351	21.83	1179.581
21.84	1372.715	21.84	1088.062
21.85	1289.058	21.85	1238.052
21.86	1123.912	21.86	1349.908
21.87	1295.456	21.87	1220.256
21.88	1419.42	21.88	1342.282
21.89	1284.83	21.89	1451.597
21.9	1394.949	21.9	1197.376
21.91	1184.144	21.91	1443.97
21.92	1262.454	21.92	1217.714
21.93	1276.988	21.93	1250.763
21.94	1395.012	21.94	1243.136
21.95	1410.115	21.95	1116.026
21.96	1386.889	21.96	1222.798
21.97	1374.866	21.97	1205.003
21.98	1285.13	21.98	1128.737
21.99	1186.945	21.99	1421.09
22	1277.989	22	1304.149
22.01	1187.857	22.01	1174.497
22.02	1334.19	22.02	1372.788
22.03	1447.955	22.03	1616.84
22.04	1342.335	22.04	1487.187
22.05	1290.313	22.05	1464.308
22.06	1377.365	22.06	1375.331
22.07	1301.063	22.07	1220.256
22.08	1295.02	22.08	1182.123
22.09	1197.542	22.09	1161.786
22.1	1365.456	22.1	1354.993
22.11	1367.622	22.11	1311.776
22.12	1328.476	22.12	1443.97
22.13	1300.682	22.13	1143.99
22.14	1299.415	22.14	1151.617
22.15	1255.556	22.15	1212.63
22.16	1256.185	22.16	1433.801
22.17	1533.535	22.17	1571.08
22.18	1463.238	22.18	1426.174
22.19	1279.835	22.19	1171.954
22.2	1313.318	22.2	1388.042
22.21	1184.793	22.21	1370.246
22.22	1347.071	22.22	1309.233
22.23	1230.589	22.23	1835.469
22.24	1280.559	22.24	1591.417
22.25	1245.057	22.25	1278.727
22.26	1185.56	22.26	1382.957
22.27	1122.021	22.27	1260.932
22.28	1353.609	22.28	1471.934
22.29	1313.692	22.29	1558.369
22.3	1245.065	22.3	1316.86
22.31	1377.404	22.31	1121.11
22.32	1327.804	22.32	1276.185
22.33	1250.037	22.33	1052.471
22.34	1427.572	22.34	1301.607
22.35	1394.465	22.35	1128.737
22.36	1389.81	22.36	1062.64
22.37	1240.457	22.37	1342.282
22.38	1289.516	22.38	1187.208
22.39	1361.95	22.39	1194.834
22.4	1547.495	22.4	1271.1
22.41	1438.377	22.41	1370.246
22.42	1420.32	22.42	1525.32
22.43	1293.219	22.43	1207.545
22.44	1290.99	22.44	1426.174
22.45	1432.064	22.45	1553.284
22.46	1541.264	22.46	1192.292
22.47	1432.416	22.47	1423.632
22.48	1419.935	22.48	1179.581
22.49	1271.87	22.49	1192.292
22.5	1306.507	22.5	1538.031
22.51	1389.55	22.51	1443.97
22.52	1271.891	22.52	1405.837
22.53	1356.862	22.53	1065.182
22.54	1371.478	22.54	1337.197
22.55	1345.812	22.55	1329.571
22.56	1359.515	22.56	1250.763
22.57	1309.358	22.57	1365.162
22.58	1371.063	22.58	1293.98
22.59	1271.734	22.59	1583.791
22.6	1244.822	22.6	1377.873
22.61	1141.525	22.61	1449.054
22.62	1301.608	22.62	1677.852
22.63	1375.198	22.63	1352.451
22.64	1506.064	22.64	1337.197
22.65	1499.221	22.65	1484.645
22.66	1338.514	22.66	1593.96
22.67	1332.635	22.67	1428.717
22.68	1325.909	22.68	1545.658
22.69	1375.64	22.69	1138.906
22.7	1433.751	22.7	1238.052
22.71	1285.854	22.71	1599.044
22.72	1344.016	22.72	1362.62
22.73	1287.915	22.73	1232.967
22.74	1298.944	22.74	1380.415
22.75	1408.499	22.75	1260.932
22.76	1366.936	22.76	1382.957
22.77	1328.219	22.77	1314.318
22.78	1438.354	22.78	1359.442
22.79	1390.173	22.79	1327.664
22.8	1443.499	22.8	1161.786
22.81	1543.829	22.81	1281.269
22.82	1614.074	22.82	1497.356
22.83	1412.217	22.83	1240.594
22.84	1444.377	22.84	1360.077
22.85	1386.222	22.85	1276.185
22.86	1344.801	22.86	1332.113
22.87	1347.782	22.87	1288.896
22.88	1257.512	22.88	1316.86
22.89	1376.924	22.89	1393.126
22.9	1334.029	22.9	1403.295
22.91	1481.078	22.91	1456.681
22.92	1298.383	22.92	1464.308
22.93	1348.997	22.93	1482.103
22.94	1322.128	22.94	1431.259
22.95	1369.67	22.95	1245.678
22.96	1418.938	22.96	1255.847
22.97	1325.815	22.97	1367.704
22.98	1300.51	22.98	1560.911
22.99	1355.227	22.99	1497.356
23	1393.587	23	1199.919
23.01	1427.665	23.01	1301.607
23.02	1338.073	23.02	1286.354
23.03	1451.268	23.03	1494.814
23.04	1434.867	23.04	1454.139
23.05	1297.255	23.05	1515.151
23.06	1404.133	23.06	1276.185
23.07	1272.097	23.07	1187.208
23.08	1519.699	23.08	1606.671
23.09	1370.483	23.09	1525.32
23.1	1429.562	23.1	1451.597
23.11	1454.914	23.11	1372.788
23.12	1425.643	23.12	1540.574
23.13	1442.163	23.13	1530.405
23.14	1394.95	23.14	1400.753
23.15	1384.459	23.15	1293.98
23.16	1380.657	23.16	1530.405
23.17	1513.047	23.17	1281.269
23.18	1477.797	23.18	1240.594
23.19	1363.334	23.19	1187.208
23.2	1413.722	23.2	1428.717
